LVPos;LVText;EntityType;Layer;Handle;Length;Area
;;Polyline;RR_Linie_Quergefälle;8C20;3.649;0.32
;;Circle;RR_Linie_Rigole_Schacht;8C1F;4.524;1.629
;;Circle;RR_Linie_Rigole_Schacht;8C1E;3.77;1.131
;;Line;RR_Linie_Gehweg Übergand 6 bzw 10 cm Tragdeckschicht;8C18;1.38;0
;;Line;RR_Linie_Gehweg Übergand 6 bzw 10 cm Tragdeckschicht;8C17;1.38;0
;;Line;RR_Linie_Gehweg Übergand 6 bzw 10 cm Tragdeckschicht;8C16;1.38;0
;;Line;RR_Linie_Gehweg Übergand 6 bzw 10 cm Tragdeckschicht;8C15;1.3;0
;;Line;RR_Linie_Gehweg Übergand 6 bzw 10 cm Tragdeckschicht;8C14;1.3;0
;;Line;RR_Linie_Strichliert;8BF5;3.38;0
;;Polyline;RR_Linie_Strichliert;8BE4;15.435;0
;;Polyline2d;RR_Beschriftung_Querschnitte;8BDF;2.25;0
;;Polyline2d;RR_Beschriftung_Querschnitte;8BDA;1.5;0
;;Polyline2d;RR_Beschriftung_Querschnitte;8BD5;2.25;0
;;Line;RR_Hilf für Rahmen und Schnittlinien;8BD2;11.5;0
;;Polyline2d;RR_Beschriftung_Querschnitte;8BCC;2.25;0
;;Line;RR_Hilf für Rahmen und Schnittlinien;8BCB;3.5;0
;;Polyline2d;RR_Beschriftung_Querschnitte;8BC6;1.5;0
;;Polyline2d;RR_Beschriftung_Querschnitte;8BC1;2.25;0
;;Line;RR_Linie_Strichliert;8B41;2.897;0
;;Line;RR_Linie_Strichliert;8B40;0.487;0
;;Arc;RR_Linie_Strichliert;8B3F;4.672;0
;;Arc;RR_Linie_Strichliert;8B3D;12.623;0
;;Line;RR_Linie_Quergefälle;8B3C;1.64;0
;;Line;DFK_Ainring$0$DFK_Gebäude;8B2F;10.514;0
;;Line;DFK_Ainring$0$DFK_Gebäude;8B2E;10.516;0
;;Line;DFK_Ainring$0$DFK_Gebäude;8B2D;10.049;0
;;Line;DFK_Ainring$0$DFK_Gebäude;8B2C;3.1;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B2B;46.793;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B2A;59.328;179.811
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B29;29.604;52.101
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B28;44.766;124.002
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B27;15.389;13.132
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B26;23.615;22.563
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B25;1.622;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B24;29.016;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B23;17.218;16.971
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B22;52.554;121.999
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B21;34.022;63.017
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B20;13.18;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B1F;35.139;68.047
